FECHA (YYMMDD);HORA (HHMM);;
200207;0700;135,752;
200207;0800;142,491;
200207;0900;137,582;
200207;1000;136,276;
200207;1100;126,799;
200207;1200;139,806;
200207;1300;140,821;
200207;1400;129,304;
200207;1500;128,006;
200207;1600;129,645;
200207;1700;121,42;
200207;1800;127,362;
200207;1900;132,745;
200207;2000;233,679;
200207;2100;202,477;
200207;2200;149,456;
200207;2300;82,8274;
200208;0000;341,561;
200208;0100;34,0031;
200208;0200;53,0972;
200208;0300;352,791;
200208;0400;322,932;
200208;0500;3,31198;
200208;0600;330,244;
200208;0700;112,423;
200208;0800;125,583;
200208;0900;138,948;
200208;1000;191,729;
200208;1100;130,623;
200208;1200;117,809;
200208;1300;112,165;
200208;1400;116,502;
200208;1500;105,934;
200208;1600;125,023;
200208;1700;119,593;
200208;1800;122,199;
200208;1900;217,404;
200208;2000;231,834;
200208;2100;239,626;
200208;2200;153,509;
200208;2300;344,63;
200209;0000;346,098;
200209;0100;336,722;
200209;0200;292,618;
200209;0300;112,13;
200209;0400;153,559;
200209;0500;254,857;
200209;0600;305,907;
200209;0700;266,243;
200209;0800;97,2084;
200209;0900;153,446;
200209;1000;140,006;
200209;1100;150,076;
200209;1200;147,311;
200209;1300;139,996;
200209;1400;142,474;
200209;1500;104,405;
200209;1600;200,471;
200209;1700;205,781;
200209;1800;235,057;
200209;1900;234,136;
200209;2000;222,422;
200209;2100;187,941;
200209;2200;75,2202;
200209;2300;170,641;
200210;0000;103,365;
200210;0100;10,3439;
200210;0200;133,342;
200210;0300;102,553;
200210;0400;106,628;
200210;0500;302,36;
200210;0600;304,217;
200210;0700;291,224;
200210;0800;331,35;
200210;0900;183,844;
200210;1000;158,231;
200210;1100;186,916;
200210;1200;207,316;
200210;1300;172,928;
200210;1400;158,893;
200210;1500;236,203;
200210;1600;244,21;
200210;1700;249,124;
200210;1800;259,122;
200210;1900;234,646;
200210;2000;233,355;
200210;2100;194,543;
200210;2200;210,376;
200210;2300;185,424;
200211;0000;164,669;
200211;0100;311,789;
200211;0200;335,863;
200211;0300;313,796;
200211;0400;268,552;
200211;0500;151,212;
200211;0600;333,558;
200211;0700;305,013;
200211;0800;132,146;
200211;0900;131,394;
200211;1000;108,741;
200211;1100;285,479;
200211;1200;149,209;
200211;1300;197,189;
200211;1400;341,654;
200211;1500;221,386;
200211;1600;185,628;
200211;1700;197,244;
200211;1800;207,541;
200211;1900;238,438;
200211;2000;213,223;
200211;2100;203,489;
200211;2200;206,03;
200211;2300;214,454;
200212;0000;203,141;
200212;0100;142,588;
200212;0200;150,291;
200212;0300;210,995;
200212;0400;81,2168;
200212;0500;218,13;
200212;0600;338,893;
200212;0700;125,153;
200212;0800;113,678;
200212;0900;159,034;
200212;1000;144,114;
200212;1100;159,446;
200212;1200;151,145;
200212;1300;138,523;
200212;1400;132,432;
200212;1500;127,617;
200212;1600;152,674;
200212;1700;143,852;
200212;1800;144,627;
200212;1900;150,954;
200212;2000;159,546;
200212;2100;170,5;
200212;2200;190,978;
200212;2300;191,936;
200213;0000;172,586;
200213;0100;179,687;
200213;0200;178,235;
200213;0300;161,896;
200213;0400;160,649;
200213;0500;167,035;
200213;0600;170,181;
200213;0700;149,437;
200213;0800;140,27;
200213;0900;150,829;
200213;1000;135,435;
200213;1100;137,289;
200213;1200;142,82;
200213;1300;135,749;
200213;1400;133,113;
200213;1500;139,251;
200213;1600;136,339;
200213;1700;124,995;
200213;1800;138,154;
200213;1900;152,042;
200213;2000;171,365;
200213;2100;164,612;
200213;2200;173,12;
200213;2300;164,366;
200214;0000;175,591;
200214;0100;181,667;
200214;0200;170,011;
200214;0300;175,354;
200214;0400;169,097;
200214;0500;169,461;
200214;0600;139,972;
200214;0700;121,737;
200214;0800;140,772;
200214;0900;137,265;
200214;1000;122,414;
200214;1100;141,918;
200214;1200;134,809;
200214;1300;132,359;
200214;1400;130,098;
200214;1500;126,611;
200214;1600;126,312;
200214;1700;126,668;
200214;1800;131,871;
200214;1900;142,583;
200214;2000;173,61;
200214;2100;195,12;
200214;2200;163,69;
200214;2300;134,054;
200215;0000;126,735;
200215;0100;100,109;
200215;0200;331,539;
200215;0300;342,273;
200215;0400;347,589;
200215;0500;317,789;
200215;0600;305,195;
200215;0700;104,697;
200215;0800;142,419;
200215;0900;139,513;
200215;1000;137,989;
200215;1100;132,058;
200215;1200;129,141;
200215;1300;120,364;
200215;1400;145,632;
200215;1500;133,552;
200215;1600;141,382;
200215;1700;136,53;
200215;1800;142,201;
200215;1900;208,22;
200215;2000;224,321;
200215;2100;219,542;
200215;2200;191,443;
200215;2300;157,557;
200216;0000;136,739;
200216;0100;101,402;
200216;0200;143,884;
200216;0300;131,838;
200216;0400;158,646;
200216;0500;220,466;
200216;0600;122,524;
200216;0700;129,514;
200216;0800;143,083;
200216;0900;113,017;
200216;1000;108,519;
200216;1100;179,9;
200216;1200;134,101;
200216;1300;124,581;
200216;1400;143,701;
200216;1500;160,838;
200216;1600;248,824;
200216;1700;255,771;
200216;1800;220,541;
200216;1900;223,841;
200216;2000;226,473;
200216;2100;200,002;
200216;2200;202,844;
200216;2300;207,773;
200217;0000;196,706;
200217;0100;187,536;
200217;0200;195,592;
200217;0300;216,865;
200217;0400;149,359;
200217;0500;133,198;
200217;0600;81,8228;
200217;0700;37,8793;
200217;0800;133,317;
200217;0900;154,972;
200217;1000;152,205;
200217;1100;149,168;
200217;1200;136,236;
200217;1300;131,206;
200217;1400;139,626;
200217;1500;127,833;
200217;1600;130,254;
200217;1700;139,344;
200217;1800;151,087;
200217;1900;157,493;
200217;2000;161,19;
200217;2100;165,458;
200217;2200;162,05;
200217;2300;178,535;
200218;0000;179,134;
200218;0100;178,109;
200218;0200;179,999;
200218;0300;175,564;
200218;0400;168,325;
200218;0500;145,15;
200218;0600;116,4;
200218;0700;127,506;
200218;0800;141,464;
200218;0900;143,299;
200218;1000;143,771;
200218;1100;138,755;
200218;1200;134,394;
200218;1300;141,078;
200218;1400;149,265;
200218;1500;133,245;
200218;1600;132,276;
200218;1700;121,794;
200218;1800;123,066;
200218;1900;128,162;
200218;2000;215,916;
200218;2100;185,286;
200218;2200;183,919;
200218;2300;176,006;
200219;0000;170,128;
200219;0100;160,898;
