FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200126;0300;0,21;;;
200126;0400;0,22;;;
200126;0500;0,21;;;
200126;0600;0,23;;;
200126;0700;0,24;;;
200126;0800;0,22;;;
200126;0900;0,21;;;
200126;1000;0,21;;;
200126;1100;0,24;;;
200126;1200;0,24;;;
200126;1300;0,24;;;
200126;1400;0,26;;;
200126;1500;0,27;;;
200126;1600;0,27;;;
200126;1700;0,27;;;
200126;1800;0,28;;;
200126;1900;0,29;;;
200126;2000;0,35;;;
200126;2100;0,28;;;
200126;2200;0,23;;;
200126;2300;0,23;;;
200127;0000;0,21;;;
200127;0100;0,22;;;
200127;0200;0,19;;;
200127;0300;0,2;;;
200127;0400;0,22;;;
200127;0500;0,22;;;
200127;0600;0,23;;;
200127;0700;0,23;;;
200127;0800;0,21;;;
200127;0900;0,21;;;
200127;1000;0,22;;;
200127;1100;0,21;;;
200127;1200;0,23;;;
200127;1300;0,24;;;
200127;1400;0,24;;;
200127;1500;0,25;;;
200127;1600;0,3;;;
200127;1700;0,29;;;
200127;1800;0,29;;;
200127;1900;0,37;;;
200127;2000;0,41;;;
200127;2100;0,34;;;
200127;2200;0,41;;;
200127;2300;0,36;;;
200128;0000;0,4;;;
200128;0100;0,37;;;
200128;0200;0,39;;;
200128;0300;0,41;;;
200128;0400;0,39;;;
200128;0500;0,35;;;
200128;0600;0,33;;;
200128;0700;0,31;;;
200128;0800;0,28;;;
200128;0900;0,26;;;
200128;1000;0,26;;;
200128;1100;0,26;;;
200128;1200;0,27;;;
200128;1300;0,27;;;
200128;1400;0,28;;;
200128;1500;0,28;;;
200128;1600;0,3;;;
200128;1700;0,36;;;
200128;1800;0,4;;;
200128;1900;0,35;;;
200128;2000;0,33;;;
200128;2100;0,31;;;
200128;2200;0,25;;;
200128;2300;0,22;;;
200129;0000;0,24;;;
200129;0100;0,2;;;
200129;0200;0,2;;;
200129;0300;0,19;;;
200129;0400;0,19;;;
200129;0500;0,2;;;
200129;0600;0,21;;;
200129;0700;0,21;;;
200129;0800;;;;
200129;0900;0,24;;;
200129;1000;;;;
200129;1100;0,21;;;
200129;1200;0,23;;;
200129;1300;0,23;;;
200129;1400;0,23;;;
200129;1500;0,23;;;
200129;1600;0,25;;;
200129;1700;0,23;;;
200129;1800;0,24;;;
200129;1900;0,24;;;
200129;2000;0,33;;;
200129;2100;0,26;;;
200129;2200;0,26;;;
200129;2300;0,29;;;
200130;0000;0,28;;;
200130;0100;0,19;;;
200130;0200;0,18;;;
200130;0300;0,13;;;
200130;0400;0,13;;;
200130;0500;0,15;;;
200130;0600;0,22;;;
200130;0700;0,2;;;
200130;0800;0,13;;;
200130;0900;0,13;;;
200130;1000;0,15;;;
200130;1100;0,18;;;
200130;1200;0,19;;;
200130;1300;0,21;;;
200130;1400;0,23;;;
200130;1500;0,23;;;
200130;1600;0,23;;;
200130;1700;0,23;;;
200130;1800;0,24;;;
200130;1900;0,26;;;
200130;2000;0,28;;;
200130;2100;0,23;;;
200130;2200;0,26;;;
200130;2300;0,27;;;
200131;0000;0,3;;;
200131;0100;0,29;;;
200131;0200;0,44;;;
200131;0300;0,34;;;
200131;0400;0,55;;;
200131;0500;0,47;;;
200131;0600;0,37;;;
200131;0700;0,3;;;
200131;0800;0,23;;;
200131;0900;0,23;;;
200131;1000;0,23;;;
200131;1100;0,23;;;
200131;1200;0,23;;;
200131;1300;0,23;;;
200131;1400;0,23;;;
200131;1500;0,23;;;
200131;1600;0,25;;;
200131;1700;0,24;;;
200131;1800;0,24;;;
200131;1900;0,33;;;
200131;2000;0,36;;;
200131;2100;0,33;;;
200131;2200;0,29;;;
200131;2300;0,33;;;
200201;0000;0,33;;;
200201;0100;0,44;;;
200201;0200;0,45;;;
200201;0300;0,4;;;
200201;0400;0,33;;;
200201;0500;0,33;;;
200201;0600;0,32;;;
200201;0700;0,52;;;
200201;0800;0,39;;;
200201;0900;0,23;;;
200201;1000;0,23;;;
200201;1100;0,23;;;
200201;1200;0,25;;;
200201;1300;;;;
200201;1400;0,33;;;
200201;1500;0,5;;;
200201;1600;0,51;;;
200201;1700;0,48;;;
200201;1800;0,47;;;
200201;1900;0,46;;;
200201;2000;0,45;;;
200201;2100;0,49;;;
200201;2200;0,46;;;
200201;2300;0,46;;;
200202;0000;0,44;;;
200202;0100;0,42;;;
200202;0200;0,43;;;
200202;0300;0,42;;;
200202;0400;0,41;;;
200202;0500;0,4;;;
200202;0600;0,4;;;
200202;0700;0,39;;;
200202;0800;0,39;;;
200202;0900;0,4;;;
200202;1000;0,4;;;
200202;1100;0,4;;;
200202;1200;0,41;;;
200202;1300;0,43;;;
200202;1400;0,43;;;
200202;1500;0,45;;;
200202;1600;0,43;;;
200202;1700;0,43;;;
200202;1800;0,44;;;
200202;1900;0,42;;;
200202;2000;0,4;;;
200202;2100;0,39;;;
200202;2200;0,41;;;
200202;2300;0,5;;;
200203;0000;0,42;;;
200203;0100;0,36;;;
200203;0200;0,37;;;
200203;0300;0,34;;;
200203;0400;0,34;;;
200203;0500;0,36;;;
200203;0600;0,39;;;
200203;0700;0,38;;;
200203;0800;0,36;;;
200203;0900;0,35;;;
200203;1000;0,36;;;
200203;1100;0,36;;;
200203;1200;0,36;;;
200203;1300;0,35;;;
200203;1400;0,37;;;
200203;1500;0,38;;;
200203;1600;0,41;;;
200203;1700;0,41;;;
200203;1800;0,41;;;
200203;1900;0,42;;;
200203;2000;0,4;;;
200203;2100;0,42;;;
200203;2200;0,42;;;
200203;2300;0,41;;;
200204;0000;0,41;;;
200204;0100;0,4;;;
200204;0200;0,38;;;
200204;0300;0,44;;;
200204;0400;0,75;;;
200204;0500;1,08;;;
200204;0600;0,51;;;
200204;0700;0,48;;;
200204;0800;0,41;;;
200204;0900;0,4;;;
200204;1000;0,38;;;
200204;1100;0,37;;;
200204;1200;0,38;;;
200204;1300;0,36;;;
200204;1400;0,36;;;
200204;1500;0,37;;;
200204;1600;0,37;;;
200204;1700;0,37;;;
200204;1800;0,38;;;
200204;1900;0,4;;;
200204;2000;0,45;;;
200204;2100;0,45;;;
200204;2200;0,4;;;
200204;2300;0,4;;;
200205;0000;0,4;;;
200205;0100;0,37;;;
200205;0200;0,36;;;
200205;0300;0,37;;;
200205;0400;0,35;;;
200205;0500;0,35;;;
200205;0600;0,38;;;
200205;0700;0,37;;;
200205;0800;0,34;;;
200205;0900;0,34;;;
200205;1000;0,34;;;
200205;1100;0,33;;;
200205;1200;0,33;;;
200205;1300;0,32;;;
200205;1400;0,33;;;
200205;1500;0,34;;;
200205;1600;0,36;;;
200205;1700;0,44;;;
200205;1800;0,36;;;
200205;1900;0,35;;;
200205;2000;0,36;;;
200205;2100;0,36;;;
200205;2200;0,36;;;
200205;2300;0,36;;;
200206;0000;0,43;;;
200206;0100;0,42;;;
200206;0200;0,34;;;
200206;0300;0,36;;;
200206;0400;0,52;;;
200206;0500;0,55;;;
200206;0600;0,6;;;
200206;0700;0,6;;;
200206;0800;0,5;;;
200206;0900;0,39;;;
200206;1000;0,39;;;
200206;1100;0,41;;;
200206;1200;0,41;;;
200206;1300;0,4;;;
200206;1400;0,41;;;
200206;1500;0,42;;;
200206;1600;0,45;;;
200206;1700;0,46;;;
200206;1800;0,45;;;
200206;1900;0,44;;;
200206;2000;0,45;;;
200206;2100;0,45;;;
200206;2200;0,44;;;
200206;2300;0,5;;;
200207;0000;0,51;;;
200207;0100;0,42;;;
200207;0200;0,45;;;
200207;0300;0,45;;;
200207;0400;0,53;;;
200207;0500;0,55;;;
200207;0600;0,51;;;
200207;0700;0,41;;;
200207;0800;0,38;;;
200207;0900;0,37;;;
200207;1000;0,38;;;
200207;1100;0,4;;;
200207;1200;0,41;;;
200207;1300;0,39;;;
200207;1400;0,4;;;
200207;1500;0,41;;;
200207;1600;0,43;;;
200207;1700;0,43;;;
200207;1800;0,45;;;
200207;1900;0,52;;;
200207;2000;1;;;
200207;2100;1,19;;;
200207;2200;1,76;;;
200207;2300;2,11;;;
200208;0000;2,35;;;
200208;0100;1,76;;;
200208;0200;1,79;;;
200208;0300;1,38;;;
200208;0400;0,91;;;
200208;0500;0,75;;;
200208;0600;0,72;;;
200208;0700;0,53;;;
200208;0800;0,43;;;
200208;0900;0,43;;;
200208;1000;0,44;;;
200208;1100;0,44;;;
200208;1200;0,49;;;
200208;1300;0,66;;;
200208;1400;;;;
200208;1500;0,58;;;
200208;1600;0,66;;;
200208;1700;0,61;;;
200208;1800;0,57;;;
200208;1900;0,64;;;
200208;2000;0,63;;;
200208;2100;0,56;;;
200208;2200;0,69;;;
200208;2300;0,85;;;
200209;0000;0,85;;;
200209;0100;0,77;;;
200209;0200;0,82;;;
200209;0300;0,8;;;
200209;0400;0,8;;;
200209;0500;0,81;;;
200209;0600;0,82;;;
200209;0700;0,83;;;
200209;0800;0,58;;;
200209;0900;0,55;;;
200209;1000;0,55;;;
200209;1100;0,56;;;
200209;1200;0,59;;;
200209;1300;0,62;;;
200209;1400;0,64;;;
200209;1500;0,68;;;
200209;1600;0,69;;;
200209;1700;0,71;;;
200209;1800;0,73;;;
200209;1900;0,81;;;
200209;2000;0,81;;;
200209;2100;0,79;;;
200209;2200;0,84;;;
200209;2300;0,94;;;
200210;0000;0,77;;;
200210;0100;0,83;;;
200210;0200;0,82;;;
200210;0300;0,8;;;
200210;0400;0,88;;;
200210;0500;;;;
200210;0600;;;;
200210;0700;;;;
200210;0800;;;;
200210;0900;;;;
200210;1000;;;;
200210;1100;;;;
200210;1200;;;;
200210;1300;;;;
200210;1400;;;;
200210;1500;;;;
200210;1600;;;;
200210;1700;;;;
200210;1800;0,55;;;
200210;1900;0,55;;;
200210;2000;0,51;;;
200210;2100;0,49;;;
200210;2200;0,53;;;
200210;2300;0,5;;;
200211;0000;0,42;;;
200211;0100;0,45;;;
200211;0200;0,48;;;
200211;0300;0,52;;;
200211;0400;0,54;;;
200211;0500;0,49;;;
200211;0600;0,56;;;
200211;0700;0,67;;;
200211;0800;0,68;;;
200211;0900;0,45;;;
200211;1000;0,47;;;
200211;1100;0,46;;;
200211;1200;0,45;;;
200211;1300;0,44;;;
200211;1400;0,46;;;
200211;1500;0,48;;;
200211;1600;0,53;;;
200211;1700;0,52;;;
200211;1800;0,58;;;
200211;1900;0,5;;;
200211;2000;0,47;;;
200211;2100;0,44;;;
200211;2200;0,42;;;
200211;2300;0,4;;;
200212;0000;0,39;;;
200212;0100;0,38;;;
200212;0200;0,38;;;
200212;0300;0,38;;;
200212;0400;0,38;;;
200212;0500;0,45;;;
200212;0600;0,53;;;
200212;0700;0,51;;;
200212;0800;0,49;;;
200212;0900;0,43;;;
200212;1000;0,4;;;
200212;1100;0,39;;;
200212;1200;0,4;;;
200212;1300;0,46;;;
200212;1400;0,51;;;
200212;1500;0,43;;;
200212;1600;0,44;;;
200212;1700;0,56;;;
200212;1800;0,53;;;
200212;1900;0,5;;;
200212;2000;0,49;;;
200212;2100;0,46;;;
200212;2200;0,47;;;
200212;2300;0,46;;;
200213;0000;0,45;;;
200213;0100;0,42;;;
200213;0200;0,37;;;
200213;0300;0,35;;;
200213;0400;0,34;;;
200213;0500;0,34;;;
200213;0600;0,35;;;
200213;0700;0,37;;;
200213;0800;0,34;;;
200213;0900;0,34;;;
200213;1000;0,34;;;
200213;1100;0,33;;;
200213;1200;0,33;;;
200213;1300;0,33;;;
200213;1400;0,34;;;
200213;1500;0,35;;;
200213;1600;0,38;;;
200213;1700;0,38;;;
200213;1800;0,38;;;
200213;1900;0,41;;;
200213;2000;0,43;;;
200213;2100;0,51;;;
200213;2200;0,47;;;
200213;2300;0,46;;;
200214;0000;0,41;;;
200214;0100;0,38;;;
200214;0200;0,35;;;
200214;0300;0,34;;;
200214;0400;0,34;;;
200214;0500;0,35;;;
200214;0600;0,36;;;
200214;0700;0,37;;;
200214;0800;0,35;;;
200214;0900;0,35;;;
200214;1000;0,34;;;
