FECHA (YYMMDD);HORA (HHMM);;
200205;0100;15,5108;
200205;0200;15,1075;
200205;0300;14,6619;
200205;0400;13,9152;
200205;0500;13,2608;
200205;0600;12,8983;
200205;0700;14,1308;
200205;0800;15,1442;
200205;0900;16,6809;
200205;1000;18,5058;
200205;1100;20,5483;
200205;1200;22,5908;
200205;1300;24,6024;
200205;1400;25,9814;
200205;1500;26,6606;
200205;1600;26,9983;
200205;1700;27,3058;
200205;1800;24,6342;
200205;1900;21,8142;
200205;2000;19,7667;
200205;2100;18,0442;
200205;2200;16,7892;
200205;2300;15,9008;
200206;0000;14,8367;
200206;0100;14,2175;
200206;0200;13,3617;
200206;0300;12,355;
200206;0400;11,6125;
200206;0500;10,875;
200206;0600;10,8767;
200206;0700;13,6633;
200206;0800;15,9175;
200206;0900;17,2475;
200206;1000;19,1558;
200206;1100;21,3575;
200206;1200;23,7842;
200206;1300;25,1884;
200206;1400;27,1765;
200206;1500;28,6333;
200206;1600;29,4425;
200206;1700;29,1483;
200206;1800;27,51;
200206;1900;24,7667;
200206;2000;21,8492;
200206;2100;20,1083;
200206;2200;18,7942;
200206;2300;17,7983;
200207;0000;16,4358;
200207;0100;15,0708;
200207;0200;14,0767;
200207;0300;13,2375;
200207;0400;12,7633;
200207;0500;12,22;
200207;0600;12,185;
200207;0700;13,8042;
200207;0800;15,6008;
200207;0900;17,29;
200207;1000;19,5992;
200207;1100;22,5125;
200207;1200;25,5575;
200207;1300;27,8639;
200207;1400;29,4946;
200207;1500;30,8278;
200207;1600;31,3542;
200207;1700;31,2842;
200207;1800;30,7792;
200207;1900;29,1542;
200207;2000;25,01;
200207;2100;22,4383;
200207;2200;20,6917;
200207;2300;19,0817;
200208;0000;17,9642;
200208;0100;16,7442;
200208;0200;16,06;
200208;0300;15,2783;
200208;0400;14,4825;
200208;0500;13,97;
200208;0600;13,88;
200208;0700;16,9058;
200208;0800;18,2508;
200208;0900;20,3117;
200208;1000;22,9583;
200208;1100;25,7983;
200208;1200;28,7667;
200208;1300;31,4492;
200208;1400;33,385;
200208;1500;34,6708;
200208;1600;35,2175;
200208;1700;35,2308;
200208;1800;34,6825;
200208;1900;31,785;
200208;2000;29,045;
200208;2100;27,9342;
200208;2200;25,8075;
200208;2300;22,9525;
200209;0000;20,845;
200209;0100;19,405;
200209;0200;17,8967;
200209;0300;16,6675;
200209;0400;15,5458;
200209;0500;14,9333;
200209;0600;14,3975;
200209;0700;17,1967;
200209;0800;19,9975;
200209;0900;23,705;
200209;1000;25,8335;
200209;1100;28,6902;
200209;1200;31,0409;
200209;1300;33,4251;
200209;1400;34,9783;
200209;1500;35,69;
200209;1600;36,0642;
200209;1700;35,3358;
200209;1800;33,2092;
200209;1900;29,3967;
200209;2000;27,5017;
200209;2100;25,9833;
200209;2200;23,555;
200209;2300;22,0225;
200210;0000;20,6025;
200210;0100;19,335;
200210;0200;18,2575;
200210;0300;17,3825;
200210;0400;16,75;
200210;0500;15,7095;
200210;0600;15,281;
200210;0700;17,1987;
200210;0800;20,012;
200210;0900;23,1203;
200210;1000;25,331;
200210;1100;28,0083;
200210;1200;30,6191;
200210;1300;32,684;
200210;1400;34,3254;
200210;1500;35,5569;
200210;1600;35,5385;
200210;1700;34,0359;
200210;1800;31,4546;
200210;1900;28,7567;
200210;2000;26,2542;
200210;2100;24,4342;
200210;2200;22,5225;
200210;2300;21,5108;
200211;0000;20,3228;
200211;0100;19,1358;
200211;0200;18,2217;
200211;0300;17,49;
200211;0400;16,695;
200211;0500;16,2375;
200211;0600;15,9933;
200211;0700;17,495;
200211;0800;19,9908;
200211;0900;21,8542;
200211;1000;24,2758;
200211;1100;26,5855;
200211;1200;29,5638;
200211;1300;32,1717;
200211;1400;33,8625;
200211;1500;34,8475;
200211;1600;35,0532;
200211;1700;33,5758;
200211;1800;31,065;
200211;1900;27,6033;
200211;2000;24,9383;
200211;2100;22,4919;
200211;2200;21,1894;
200211;2300;20,4559;
200212;0000;19,8509;
200212;0100;19,1526;
200212;0200;18,1158;
200212;0300;17,5692;
200212;0400;17,1108;
200212;0500;16,9067;
200212;0600;16,8467;
200212;0700;18,7467;
200212;0800;20,49;
200212;0900;22,0333;
200212;1000;23,5424;
200212;1100;25,4632;
200212;1200;27,099;
200212;1300;28,9064;
200212;1400;29,7231;
200212;1500;30,1637;
200212;1600;28,7427;
200212;1700;28,1185;
200212;1800;27,1494;
200212;1900;25,1451;
200212;2000;23,5134;
200212;2100;22,6101;
200212;2200;21,6333;
200212;2300;20,2567;
200213;0000;19,4871;
200213;0100;18,3146;
200213;0200;17,2079;
200213;0300;16,2562;
200213;0400;15,1264;
200213;0500;14,1331;
200213;0600;13,5547;
200213;0700;14,2505;
200213;0800;15,403;
200213;0900;17,3784;
200213;1000;19,1615;
200213;1100;21,108;
200213;1200;22,8954;
200213;1300;24,6221;
200213;1400;26,012;
200213;1500;26,931;
200213;1600;27,1476;
200213;1700;26,4601;
200213;1800;25,7175;
200213;1900;24,0042;
200213;2000;22,1367;
200213;2100;20,2475;
200213;2200;19,2458;
200213;2300;18,3525;
200214;0000;17,8142;
200214;0100;17,4284;
200214;0200;16,2708;
200214;0300;15,1829;
200214;0400;14,0212;
200214;0500;13,1654;
200214;0600;12,5529;
200214;0700;13,0603;
200214;0800;14,9195;
200214;0900;16,963;
200214;1000;19,1062;
200214;1100;22,1519;
200214;1200;24,9702;
200214;1300;27,1227;
200214;1400;28,9218;
200214;1500;29,8625;
200214;1600;30,3291;
200214;1700;30,2173;
200214;1800;29,1989;
200214;1900;27,28;
200214;2000;24,4175;
200214;2100;22,1992;
200214;2200;21,3308;
200214;2300;19,6558;
200215;0000;18,225;
200215;0100;16,8042;
200215;0200;15,675;
200215;0300;14,8275;
200215;0400;14,1942;
200215;0500;13,8117;
200215;0600;14,09;
200215;0700;16,3858;
200215;0800;18,2602;
200215;0900;20,4568;
200215;1000;23,3408;
200215;1100;25,6458;
200215;1200;27,6227;
200215;1300;29,4651;
200215;1400;31,1451;
200215;1500;32,4226;
200215;1600;32,7508;
200215;1700;32,6217;
200215;1800;32,0133;
200215;1900;29,2967;
200215;2000;25,8792;
200215;2100;24,2933;
200215;2200;23,045;
200215;2300;21,1408;
200216;0000;19,8817;
200216;0100;18,76;
200216;0200;17,65;
200216;0300;16,7425;
200216;0400;16,2067;
200216;0500;15,6058;
200216;0600;15,3358;
200216;0700;16,8158;
200216;0800;18,405;
200216;0900;20,3208;
200216;1000;22,755;
200216;1100;25,7417;
200216;1200;27,785;
200216;1300;29,9133;
200216;1400;31,5683;
200216;1500;33,0275;
200216;1600;33,3033;
200216;1700;31,6117;
200216;1800;29,8783;
200216;1900;26,8667;
200216;2000;24,4375;
200216;2100;21,5567;
200216;2200;19,9625;
200216;2300;19,0633;
200217;0000;18,2958;
200217;0100;17,2717;
200217;0200;16,2167;
200217;0300;15,7158;
200217;0400;15,135;
200217;0500;14,3217;
200217;0600;14,1708;
200217;0700;16,3742;
200217;0800;18,1575;
200217;0900;19,6267;
200217;1000;21,3058;
200217;1100;22,4283;
200217;1200;23,84;
200217;1300;24,7333;
200217;1400;25,6947;
200217;1500;25,7858;
