FECHA (YYMMDD);HORA (HHMM);;
200202;2000;12,765;
200202;2100;19,65;
200202;2200;24,8908;
200202;2300;27,645;
200203;0000;32,1225;
200203;0100;36,7708;
200203;0200;45,2025;
200203;0300;55,5017;
200203;0400;61,215;
200203;0500;65,0492;
200203;0600;65,5717;
200203;0700;58,4867;
200203;0800;54,9042;
200203;0900;50,8381;
200203;1000;45,3835;
200203;1100;40,7393;
200203;1200;34,0092;
200203;1300;28,9987;
200203;1400;26,672;
200203;1500;22,9634;
200203;1600;23,1167;
200203;1700;23,2075;
200203;1800;23,895;
200203;1900;32,4308;
200203;2000;42,6925;
200203;2100;51,2;
200203;2200;58,74;
200203;2300;63,415;
200204;0000;65,7859;
200204;0100;68,4417;
200204;0200;72,5499;
200204;0300;75,9042;
200204;0400;77,3617;
200204;0500;77,6284;
200204;0600;75,3433;
200204;0700;71,3358;
200204;0800;70,4758;
200204;0900;76,0492;
200204;1000;64,6783;
200204;1100;50,2811;
200204;1200;44,3658;
200204;1300;40,5099;
200204;1400;37,5337;
200204;1500;33,8058;
200204;1600;32,1073;
200204;1700;32,0264;
200204;1800;32,5058;
200204;1900;33,9584;
200204;2000;37,7342;
200204;2100;37,8708;
200204;2200;39,05;
200204;2300;44,3358;
200205;0000;48,7133;
200205;0100;52,785;
200205;0200;56,2292;
200205;0300;58,9641;
200205;0400;61,9882;
200205;0500;64,3134;
200205;0600;65,7443;
200205;0700;62,1592;
200205;0800;59,6283;
200205;0900;55,847;
200205;1000;51,1143;
200205;1100;45,9833;
200205;1200;40,7923;
200205;1300;36,0232;
200205;1400;33,1038;
200205;1500;32,937;
200205;1600;32,275;
200205;1700;30,535;
200205;1800;33,0167;
200205;1900;36,7533;
200205;2000;39,9575;
200205;2100;43,3342;
200205;2200;46,4925;
200205;2300;48,0675;
200206;0000;52,165;
200206;0100;55,8875;
200206;0200;60,2917;
200206;0300;64,9458;
200206;0400;69,6067;
200206;0500;75,7125;
200206;0600;75,34;
200206;0700;63,95;
200206;0800;55,3467;
200206;0900;52,7483;
200206;1000;46,6842;
200206;1100;40,4892;
200206;1200;34,2325;
200206;1300;31,4225;
200206;1400;26,4757;
200206;1500;23,2625;
200206;1600;20,085;
200206;1700;22,6583;
200206;1800;27,9033;
200206;1900;31,0108;
200206;2000;34,1483;
200206;2100;36,115;
200206;2200;38,0383;
200206;2300;40,87;
200207;0000;45,6967;
200207;0100;50,0283;
200207;0200;54,3467;
200207;0300;58,8117;
200207;0400;61,4758;
200207;0500;65,2417;
200207;0600;65,4384;
200207;0700;56,3942;
200207;0800;50,0358;
200207;0900;46,33;
200207;1000;41,8475;
200207;1100;36,6125;
200207;1200;30,635;
200207;1300;26,558;
200207;1400;24,3354;
200207;1500;21,7827;
200207;1600;18,2692;
200207;1700;18,4033;
200207;1800;19,3767;
200207;1900;21,4333;
200207;2000;29,3367;
200207;2100;31,6667;
200207;2200;36,7425;
200207;2300;44,2925;
200208;0000;51,58;
200208;0100;58,8042;
200208;0200;60,0583;
200208;0300;59,8017;
200208;0400;64,3458;
200208;0500;66,08;
200208;0600;66,5492;
200208;0700;56,4117;
200208;0800;52,735;
200208;0900;47,5308;
200208;1000;41,4875;
200208;1100;35,2967;
200208;1200;31,0525;
200208;1300;26,8725;
200208;1400;24,9033;
200208;1500;22,3517;
200208;1600;20,8117;
200208;1700;18,8775;
200208;1800;20,0458;
200208;1900;24,2217;
200208;2000;28,6192;
200208;2100;29,3233;
200208;2200;33,0108;
200208;2300;41,7658;
200209;0000;47,4525;
200209;0100;52,2708;
200209;0200;55,3358;
200209;0300;58,65;
200209;0400;62,7608;
200209;0500;65,4242;
200209;0600;67,995;
200209;0700;56,3933;
200209;0800;45,3683;
200209;0900;36,6942;
200209;1000;37,3987;
200209;1100;32,432;
200209;1200;29,0976;
200209;1300;26,3076;
200209;1400;23,39;
200209;1500;24,505;
200209;1600;25,6458;
200209;1700;24,7058;
200209;1800;28,2333;
200209;1900;34,1108;
200209;2000;35,7458;
200209;2100;37,4858;
200209;2200;46,07;
200209;2300;52,58;
200210;0000;54,3433;
200210;0100;62,2292;
200210;0200;65,2808;
200210;0300;66,7817;
200210;0400;70,1633;
200210;0500;76,8363;
200210;0600;79,281;
200210;0700;71,3632;
200210;0800;61,2507;
200210;0900;50,9114;
200210;1000;46,0445;
200210;1100;40,8884;
200210;1200;36,1849;
200210;1300;31,9691;
200210;1400;28,4798;
200210;1500;25,0831;
200210;1600;27,2313;
200210;1700;30,4755;
200210;1800;33,7383;
200210;1900;37,2442;
200210;2000;42,2725;
200210;2100;47,9025;
200210;2200;54,81;
200210;2300;58,0117;
200211;0000;60,4122;
200211;0100;66,8167;
200211;0200;70,9976;
200211;0300;74,6158;
200211;0400;78,2167;
200211;0500;76,8875;
200211;0600;79,0542;
200211;0700;73,9;
200211;0800;61,0292;
200211;0900;51,5475;
200211;1000;45,5075;
200211;1100;41,7302;
200211;1200;36,8652;
200211;1300;31,8163;
200211;1400;29,2721;
200211;1500;26,5321;
200211;1600;27,8521;
200211;1700;31,3683;
200211;1800;34,255;
200211;1900;39,5208;
200211;2000;42,2708;
200211;2100;48,7421;
200211;2200;51,3745;
200211;2300;51,2686;
200212;0000;53,0794;
200212;0100;55,9043;
200212;0200;59,9442;
200212;0300;62,265;
200212;0400;64,9467;
200212;0500;66,495;
200212;0600;68,9384;
200212;0700;62,1225;
200212;0800;57,1542;
200212;0900;54,6158;
200212;1000;52,019;
200212;1100;47,5906;
200212;1200;43,168;
200212;1300;39,3538;
200212;1400;37,8654;
200212;1500;36,6974;
200212;1600;40,5905;
200212;1700;41,7145;
200212;1800;43,0478;
200212;1900;44,7527;
200212;2000;44,6419;
200212;2100;41,7451;
200212;2200;41,1183;
200212;2300;48,9217;
200213;0000;49,4559;
200213;0100;49,7259;
200213;0200;50,7908;
200213;0300;53,4492;
200213;0400;56,3207;
200213;0500;60,0448;
200213;0600;63,2747;
200213;0700;62,4988;
200213;0800;60,4562;
200213;0900;54,7035;
200213;1000;49,9589;
200213;1100;43,9402;
200213;1200;38,1009;
200213;1300;31,3371;
200213;1400;24,652;
200213;1500;24,2135;
200213;1600;23,4285;
200213;1700;23,33;
200213;1800;23,6592;
200213;1900;25,185;
200213;2000;27,7917;
200213;2100;31,095;
200213;2200;33,4983;
200213;2300;36,695;
200214;0000;41,4075;
200214;0100;44,3068;
200214;0200;48,6234;
200214;0300;52,895;
200214;0400;57,2174;
200214;0500;59,8383;
200214;0600;61,8131;
200214;0700;60,7222;
200214;0800;55,0921;
200214;0900;49,7361;
200214;1000;45,1665;
200214;1100;37,2863;
200214;1200;29,3427;
200214;1300;25,1877;
200214;1400;22,0193;
200214;1500;21,1358;
200214;1600;19,7858;
200214;1700;19,8023;
200214;1800;22,1731;
200214;1900;25,6883;
200214;2000;30,5658;
200214;2100;35,2717;
200214;2200;38,2717;
200214;2300;44,9625;
200215;0000;51,9408;
200215;0100;58,4467;
200215;0200;62,4708;
200215;0300;66,6525;
200215;0400;69,9542;
200215;0500;70,6718;
200215;0600;71,86;
200215;0700;66,9926;
200215;0800;62,1878;
200215;0900;55,8378;
200215;1000;47,4376;
200215;1100;41,8783;
200215;1200;37,1929;
200215;1300;33,1978;
200215;1400;29,0151;
200215;1500;26,8368;
200215;1600;26,5783;
200215;1700;25,8475;
200215;1800;24,165;
200215;1900;32,5542;
200215;2000;38,2175;
200215;2100;39,5325;
200215;2200;39,5417;
200215;2300;44,1275;
200216;0000;47,0583;
200216;0100;49,1117;
200216;0200;55,88;
200216;0300;63,2475;
200216;0400;66,0608;
200216;0500;67,3068;
200216;0600;67,9318;
200216;0700;62,5125;
200216;0800;58,2392;
200216;0900;52,9825;
200216;1000;46,4375;
200216;1100;40,2458;
200216;1200;34,8242;
200216;1300;31,2142;
200216;1400;28,3167;
200216;1500;25,1858;
200216;1600;25,0075;
200216;1700;26,7125;
200216;1800;31,0175;
200216;1900;38,9967;
200216;2000;45,1325;
200216;2100;53,3542;
200216;2200;58,1025;
200216;2300;62,1292;
200217;0000;65,5157;
200217;0100;69,1383;
200217;0200;73,6383;
200217;0300;74,8792;
200217;0400;77,5157;
200217;0500;81,8;
200217;0600;82,3175;
200217;0700;72,2133;
200217;0800;63,405;
